indexOfdf,Id,ColumnName,Orignal,Modified,ErrorType,Fixing
37935,66983941,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37936,64796741,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37937,64796592,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37938,66606433,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37939,68632511,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37940,65437082,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37941,65681933,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37942,63875216,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37943,66434828,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37944,65681954,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37945,66434502,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37946,66606195,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37947,68633384,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37948,69164133,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37949,67803295,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37950,68635242,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37951,68049642,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37952,34790490,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37953,68635613,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37954,63875237,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37955,67803266,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37956,65899820,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37957,66195133,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37958,69981206,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37959,68636218,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37960,67244753,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37961,65171418,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37962,68635411,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37963,68634865,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37964,65437007,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37965,66434859,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37966,67244646,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37967,64796765,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37968,66983976,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37969,65899668,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37970,64796546,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37971,64796836,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37972,65171557,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37973,68633182,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37974,66434711,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37975,66983829,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37976,66434456,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37977,69164048,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37978,66195296,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37979,63875259,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37980,62665255,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37981,67803304,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37982,64558777,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37983,65681822,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37984,63875293,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37985,66434582,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37986,64796869,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37987,64796497,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37988,65171547,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37989,66606094,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37990,68635235,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37991,67803452,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37992,69981243,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37993,64558821,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37994,68635452,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37995,66606415,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37996,68634734,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37997,65681945,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37998,69793903,Company,-,non-specified,Inconsistency,replacing all inconsistant values
37999,68635762,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38000,69163917,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38001,61399543,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38002,66195159,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38003,65171412,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38004,66195357,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38005,68636216,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38006,67803037,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38007,65681859,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38008,66606106,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38009,68049498,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38010,65681879,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38011,66434499,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38012,66606390,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38013,65171655,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38014,69981089,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38015,64796645,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38016,64338659,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38017,65899930,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38018,64338691,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38019,65171378,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38020,65171359,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38021,65437094,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38022,65171487,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38023,65899824,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38024,66434366,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38025,65171267,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38026,67244580,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38027,65171477,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38028,67803131,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38029,64130326,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38030,69981222,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38031,65899998,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38032,66983751,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38033,67244656,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38034,65171497,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38035,64796671,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38036,67803705,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38037,64558781,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38038,66983833,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38039,70460608,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38040,65171601,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38041,66983968,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38042,65171264,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38043,68049680,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38044,65681971,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38045,65171249,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38046,65899763,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38047,65171585,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38048,64558860,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38049,66195277,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38050,65900027,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38051,65899826,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38052,65171356,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38053,65899843,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38054,69981197,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38055,69164065,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38056,66195193,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38057,64130294,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38058,65171217,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38059,65171480,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38060,64558783,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38061,69164125,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38062,68634606,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38063,67244584,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38064,65437056,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38065,68049752,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38066,66606423,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38067,64796854,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38068,65682018,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38069,65171423,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38070,69981071,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38071,64558854,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38072,68635487,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38073,67803578,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38074,65171237,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38075,66983570,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38076,64796768,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38077,64796745,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38078,64796729,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38079,64558849,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38080,69163894,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38081,68635140,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38082,62881392,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38083,66606322,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38084,64797012,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38085,65682029,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38086,65899819,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38087,64558756,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38088,66434427,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38089,65436964,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38090,64796770,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38091,69981264,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38092,65681888,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38093,68634587,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38094,67803285,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38095,66195515,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38096,66434841,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38097,68635017,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38098,65899885,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38099,64130283,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38100,66434669,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38101,67244641,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38102,65899772,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38103,65171347,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38104,67803782,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38105,63875239,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38106,64796904,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38107,66434781,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38108,67803086,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38109,65436960,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38110,68635379,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38111,68635286,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38112,64796575,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38113,68634196,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38114,66983997,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38115,66983948,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38116,66983697,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38117,65437044,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38118,66983866,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38119,64796897,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38120,65171565,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38121,66983839,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38122,67803505,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38123,66606115,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38124,66434484,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38125,65899679,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38126,67244561,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38127,68632368,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38128,66195093,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38129,65681946,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38130,57405971,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38131,66983810,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38132,68634506,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38133,68634463,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38134,66606291,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38135,66983709,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38136,69981232,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38137,68049694,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38138,67803342,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38139,64558862,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38140,66606418,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38141,64338664,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38142,66195448,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38143,65171509,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38144,65899676,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38145,64071655,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38146,67803207,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38147,66434707,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38148,64796521,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38149,66434692,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38150,69981179,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38151,66983862,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38152,61576373,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38153,66195130,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38154,65899957,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38155,64338689,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38156,65681937,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38157,66983678,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38158,65681976,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38159,41879934,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38160,65682055,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38161,64796974,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38162,64796640,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38163,66983799,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38164,65171444,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38165,66434710,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38166,69163976,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38167,66195282,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38168,65681836,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38169,65437072,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38170,68634736,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38171,61898737,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38172,66606089,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38173,67803698,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38174,68634976,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38175,62665257,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38176,65437101,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38177,68633353,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38178,67803321,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38179,64338663,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38180,69981367,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38181,64796758,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38182,68635292,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38183,68635885,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38184,66434428,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38185,67803559,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38186,65171635,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38187,69794178,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38188,66195364,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38189,65681890,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38190,68635953,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38191,62665251,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38192,63875225,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38193,65171671,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38194,65682048,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38195,69163921,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38196,67803158,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38197,65171522,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38198,66606129,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38199,66983636,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38200,66195341,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38201,64796723,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38202,66606203,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38203,66983634,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38204,67244566,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38205,66434810,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38206,65437024,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38207,66195388,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38208,65899756,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38209,65681871,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38210,66983621,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38211,64558751,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38212,69164223,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38213,69981364,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38214,65171374,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38215,68049771,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38216,65171364,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38217,65681823,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38218,65171297,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38219,65681992,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38220,64796910,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38221,67244558,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38222,67803249,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38223,65171370,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38224,67803120,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38225,67803261,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38226,68634609,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38227,65681929,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38228,67803155,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38229,64558836,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38230,64796817,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38231,67803105,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38232,68635812,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38233,65899785,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38234,66195212,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38235,64796968,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38236,66606262,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38237,64796642,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38238,65171302,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38239,68632391,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38240,67803625,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38241,66195326,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38242,63875312,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38243,64796994,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38244,67803441,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38245,66434447,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38246,69794128,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38247,64071629,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38248,64796839,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38249,67244608,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38250,65171631,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38251,68635715,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38252,64796544,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38253,68049487,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38254,68635515,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38255,68049690,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38256,64796563,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38257,69794071,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38258,68049686,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38259,64558850,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38260,65899942,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38261,66195307,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38262,65171554,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38263,66434574,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38264,68633543,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38265,64130304,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38266,69793906,Company,-,non-specified,Inconsistency,replacing all inconsistant values
38267,66195396,Company,-,non-specified,Inconsistency,replacing all inconsistant values
